cf-release-version,diego-release-version,cflinuxfs2-release-version,garden-runc-release-version,cf-deployment-commit-sha,cf-deployment-transition-commit-sha,routing-release-version,cf-networking-release-version,grootfs-release-version,cf-deployment-version
259,1.15.2,1.118.0,1.6.0,171fede2351726a520286ab89986946da100be2a,,,,,
259,1.15.3,1.120.0,1.7.0,973af7c6873314f88595783c314a8a4b18320c84,,,,,
261,1.16.1,1.123.0,1.7.0,320eedca948d9a456583091a148214ea5e240bb7,643b7264861f36d3f1bf54da8fe74655cd9eb61c,,,,
262,1.16.1,1.123.0,1.7.0,73266bd045f139f26eda2da2b10ca64e006e4e6c,643b7264861f36d3f1bf54da8fe74655cd9eb61c,,,,
262,1.17.0,1.123.0,1.7.0,7e40da690c5a9a23eb462d3ccc8921c3f7a6829a,2612d048a9b3d25ef9c86130b62c73452c27f2d3,,,,
263,1.18.0,1.128.0,1.8.0,20cccb869e504b0a7828852e0f9945f65bcd7e6c,2612d048a9b3d25ef9c86130b62c73452c27f2d3,,,,
263,1.18.0,1.129.0,1.8.0,4ffc6ea1cc237bd76684361b572b4734ecfbad32,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
263,1.18.1,1.129.0,1.8.0,4ffc6ea1cc237bd76684361b572b4734ecfbad32,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.129.0,1.8.0,98229c93929dd917a4c6b812e6f6a0c03e1d7fd7,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.130.0,1.8.0,189ac5709f5f118ba059e4eb616e2ba5032c9343,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.130.0,1.8.0,8f6aa08e999584d30591c5c3084e7dca319dcb93,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.130.0,1.8.0,4eff738b963b6ee891bbca95e495153462353e3b,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.130.0,1.8.0,199ccc6362c8277d112cc5f8cecab30edf58419f,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.131.0,1.8.0,9b853e12dcc866618a3f140a604bd5348a032f3f,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.132.0,1.8.0,ed1b10fdac9a5ba2ba8544bfb2f49d9d4d9ae764,a28a0d27020f3c30ed81c7906bc84926279d35f5,,,,
264,1.18.1,1.133.0,1.8.0,3cff0ec94dccc22efcd5d3680aa2a0ef5a1b1bb3,0ecd1f00919f2f96315211bdbf6bbbc2f1d7dc3a,,,,
264,1.19.0,1.133.0,1.8.0,250a58a634b182b90a704d2770986ad34f31adaa,0ecd1f00919f2f96315211bdbf6bbbc2f1d7dc3a,,,,
264,1.19.0,1.133.0,1.8.0,17c541011e4fc0f30224951a8937925014775949,5167c53c20cbaac1690b3e264ae36af5b11e85de,0.157.0,1.1.0,0.20.0,
265,1.19.0,1.134.0,1.8.0,49a9d51ae75bbafc2e1f5c1ba644e3d08afb4e7d,7b9f64de6dafbce5aba9b2c4679fdaddde654fd4,0.157.0,1.1.0,0.20.0,
265,1.20.0,1.134.0,1.8.0,da9ec5e01f1b73580e16e813020a62cbaae3ccc6,7b9f64de6dafbce5aba9b2c4679fdaddde654fd4,0.157.0,1.1.0,0.20.0,
265,1.20.0,1.134.0,1.8.0,,7b9f64de6dafbce5aba9b2c4679fdaddde654fd4,0.157.0,1.1.0,0.20.0,v0.10.0
266,1.20.0,1.136.0,1.9.0,7474ad0d98e2b8587765b14508ff8f3cece89628,8639bfa59d362a96f7a9e93a5f85448bc8a90d4c,0.158.0,1.1.0,0.20.0,
266,1.20.0,1.136.0,1.9.0,,8639bfa59d362a96f7a9e93a5f85448bc8a90d4c,0.158.0,1.1.0,0.20.0,v0.11.0
